D,N,exp_name,exp_value,exp_std,notes
3,6,k_c,0.1255018422124682,0.00044058147232076486,from gamma_d
3,8,gamma_1_d,2.0129820442931607,0.20626679432324704,
3,8,gamma_2_d,0.7595841287315406,0.0568600041298552,
3,8,k_c,0.11723648447803832,0.00028487035608017235,from gamma_d
3,10,gamma_1_d,1.4389172956450769,0.25559929147133337,
3,10,gamma_2_d,0.9497686900394005,0.0579673154457473,
3,10,k_c,0.11328724687551214,0.0005120487393175411,from gamma_d
3,16,gamma_1_d,1.5510211856942675,0.20031081831744568,
3,16,gamma_2_d,0.8948050457049121,0.026428190184997816,
3,16,k_c,0.11169932780708823,0.00021628250278090305,from gamma_d
4,4,gamma_1_d,2.025337332631449,0.4721773012859679,
4,4,gamma_2_d,0.8741684614602441,0.10551821221642656,
4,4,k_c,0.08333715862814936,0.0004413153971203368,from gamma_d
4,6,gamma_1_d,2.285431417841181,0.3360122708507229,
4,6,gamma_2_d,0.7152635230692225,0.034363126421234215,
4,6,k_c,0.07811213603684812,0.00014163948624711892,from gamma_d
4,8,gamma_1_d,2.069314411364955,0.8547571429001828,
4,8,gamma_2_d,0.6717162326745495,0.027297356126524317,
4,8,k_c,0.07615955933222944,0.00011206949947589143,from gamma_d
4,10,gamma_1_d,1.2980158169007023,0.28512566925173205,
4,10,gamma_2_d,0.7813836035213768,0.05153409141066871,
4,10,k_c,0.07483604243700136,0.0001212986992504634,from gamma_d
2,8,k_c,0.275523023023023,0.016916942452656514,from chi_a
2,16,k_c,0.237755102040816,0.0071428571428570065,from chi_a
2,32,k_c,0.224772272272272,0.004591836734694002,from chi_a
2,64,k_c,0.223469387755102,0.002692258585115487,from chi_a
3,4,k_c,0.161724137931034,0.011050231265748486,from chi_a
3,6,k_c,0.13442692692692698,0.005689655172414002,from chi_a
3,8,k_c,0.119310344827586,0.0013230040385210015,from chi_a
3,10,k_c,0.11573323323323301,0.0012469273070535025,from chi_a
3,16,k_c,0.112631578947368,0.00047979797979801037,from chi_a
4,4,k_c,0.0890909090909091,0.002474747474747477,from chi_a
4,6,k_c,0.08026315789473701,0.0009609250398724957,from chi_a
4,8,k_c,0.077222222222222,0.00035353535353550164,from chi_a
4,10,k_c,0.076076923076923,0.0001666666666670022,from chi_a
2,8,gamma_1_a,1.2441424626035948,0.06159028349108951,
2,8,gamma_2_a,0.7248471359571032,1.6499234719786418,
2,8,k_c,0.25860287651035924,6.853623564897778e-05,from gamma_a
