k,time,m,m_std,abs_m,abs_m_std,a,a_std,wall_density,wall_density_std
0.077070707070707,0.04418063163757324,-0.17175971137152776,0.07747667418941391,0.3549384223090278,0.01809275213660544,0.29076741536458334,0.0018969676555921522,0.9183057996961806,0.001190013645422487
0.077222222222222,0.03921818733215332,-0.05140787760416668,0.0883348495204739,0.3558865017361111,0.022543218151284666,0.29533284505208335,0.0016925713899432794,0.9152859157986111,0.0009594283350055418
0.077777777777778,0.039054155349731445,-0.4388685438368055,0.0036554633961453425,0.4388685438368055,0.0036554633961453425,0.3198791503906249,0.002305619102336814,0.900796169704861,0.0014224065089691342
0.07833333333333299,0.03784680366516113,-0.46791720920138885,0.0029440003794207895,0.46791720920138885,0.0029440003794207895,0.3389716254340278,0.0019241252543843587,0.8885002983940972,0.0014330545634960738
0.078484848484849,0.037483930587768555,-0.4773830837673611,0.002554683009134825,0.4773830837673611,0.002554683009134825,0.34544813368055555,0.0016998261870298085,0.8839172363281249,0.0010890945004547003
0.07919191919191901,0.042415618896484375,-0.5077446831597222,0.0025653235208373554,0.5077446831597222,0.0025653235208373554,0.3689629448784722,0.001705901690693076,0.8686625162760417,0.0010902099639302026
0.07944444444444501,0.04552412033081055,0.5196750217013889,0.0012823029383893273,0.5196750217013889,0.0012823029383893273,0.3764851888020833,0.0010712062870466498,0.8634772406684028,0.0006632872226041676
0.07989898989899,0.04341268539428711,-0.5351331922743056,0.0019655968605647336,0.5351331922743056,0.0019655968605647336,0.3893242730034722,0.001511399921508608,0.8538953993055557,0.0010966709719520812
0.08055555555555599,0.042206525802612305,0.5630832248263888,0.001988811601407496,0.5630832248263888,0.001988811601407496,0.4120096842447916,0.001584013469150901,0.8368849012586805,0.00120049605388772
0.08060606060606099,0.043996334075927734,0.5630832248263888,0.001988811601407496,0.5630832248263888,0.001988811601407496,0.4120096842447916,0.001584013469150901,0.8368849012586805,0.00120049605388772
0.08131313131313099,0.0410611629486084,-0.5864637586805556,0.001954588719055269,0.5864637586805556,0.001954588719055269,0.4329427083333333,0.0016910190697377485,0.8209343804253473,0.0014174133899791175
0.081666666666667,0.03966355323791504,0.5999416775173612,0.0021283952922629664,0.5999416775173612,0.0021283952922629664,0.4449089898003472,0.0018370204231430486,0.8111104329427082,0.00157295799040099
0.082020202020202,0.040709495544433594,-0.607595486111111,0.0017004396208143936,0.607595486111111,0.0017004396208143936,0.45243598090277776,0.001608593856951979,0.8046881781684028,0.001393288427858085
0.082727272727273,0.04029250144958496,-0.6285129123263888,0.001485541087276622,0.6285129123263888,0.001485541087276622,0.4727057562934028,0.0013929144036342591,0.787588161892361,0.001302394663505847
0.082777777777778,0.040328264236450195,-0.6316813151041667,0.001535632189334586,0.6316813151041667,0.001535632189334586,0.47559204101562497,0.0014735718542019862,0.7848585340711804,0.0013494464758994685
0.08343434343434401,0.03780198097229004,-0.6440470377604167,0.0013563124311662999,0.6440470377604167,0.0013563124311662999,0.4879109700520833,0.0013388102768259692,0.7735568576388888,0.0011783093085212298
0.08388888888888901,0.03734183311462402,-0.6563924153645835,0.0015649766554247644,0.6563924153645835,0.0015649766554247644,0.5007378472222223,0.0016054411876527403,0.7617540147569444,0.0016340988991899704
0.084141414141414,0.0472261905670166,0.6623752170138889,0.0012794104698467,0.6623752170138889,0.0012794104698467,0.5065239800347222,0.0012380074958516676,0.7572604709201388,0.0011367360538020264
0.08484848484848499,0.03882455825805664,0.6775594075520833,0.000898440817121931,0.6775594075520833,0.000898440817121931,0.523562282986111,0.0009333524375970332,0.7412801106770833,0.0010006588334743741
0.085,0.04046177864074707,-0.6802992078993056,0.0009031186124499143,0.6802992078993056,0.0009031186124499143,0.5254184299045139,0.0009325440447624956,0.7381564670138889,0.0009630970596517918
0.08555555555555601,0.04316115379333496,-0.6909138997395833,0.0009727678562098242,0.6909138997395833,0.0009727678562098242,0.5386908637152776,0.0009570554405953147,0.7252814398871528,0.0010774196288691588
0.086262626262626,0.04848217964172363,0.7045369466145833,0.0013956677816187872,0.7045369466145833,0.0013956677816187872,0.5530287000868056,0.0015218485787443453,0.711517333984375,0.0016852224102670824
0.08696969696969702,0.04680371284484863,-0.7156263563368056,0.0011613769908993253,0.7156263563368056,0.0011613769908993253,0.5665506998697917,0.0012746441367663855,0.6971706814236112,0.0014396696934833898
0.087676767676768,0.04530763626098633,-0.7296549479166666,0.0012284844414152032,0.7296549479166666,0.0012284844414152032,0.5826605902777778,0.0012743984502486922,0.6799872504340277,0.0014130964306904568
0.08838383838383801,0.047296762466430664,0.7416137695312499,0.0009114203992798165,0.7416137695312499,0.0009114203992798165,0.5966057671440972,0.0011494552908602783,0.6639824761284723,0.0013242224020129408
0.08909090909090898,0.04523611068725586,0.7509982638888888,0.0008317844378396079,0.7509982638888888,0.0008317844378396079,0.6083089192708333,0.0009806940780218887,0.6509426540798612,0.0011744035835882462
0.08979797979798,0.04403495788574219,0.7595486111111112,0.0007840943484183285,0.7595486111111112,0.0007840943484183285,0.6196234809027776,0.0010512329823304082,0.6375420464409722,0.0012823088879328275
0.090505050505051,0.04716014862060547,0.7681952582465279,0.0009307022426597696,0.7681952582465279,0.0009307022426597696,0.6302049424913193,0.0011916170794647825,0.625747341579861,0.0015039055491509882
0.09121212121212101,0.04424786567687988,-0.7792046440972222,0.0007758648229636549,0.7792046440972222,0.0007758648229636549,0.6447231716579861,0.0010151123536490622,0.6081217447916666,0.0012041416042149276
0.09191919191919198,0.04242658615112305,0.7879001193576388,0.0008766586362298298,0.7879001193576388,0.0008766586362298298,0.6559821234809028,0.0010820248968430736,0.593984646267361,0.0014823234861883487
0.092626262626263,0.04050421714782715,0.7944837782118055,0.0003991851939607623,0.7944837782118055,0.0003991851939607623,0.665509033203125,0.0005832270761224096,0.5817064073350694,0.0008304260175413836
0.093333333333333,0.04173564910888672,0.8009562174479167,0.000912351731413418,0.8009562174479167,0.000912351731413418,0.6741041395399305,0.0012601341179399332,0.5700934516059029,0.0017015678327051617
0.094040404040404,0.04593539237976074,0.8095174153645832,0.0008352276131574925,0.8095174153645832,0.0008352276131574925,0.6855787489149305,0.0011727428085726934,0.5555487738715277,0.001583270238936487
0.09474747474747501,0.04300951957702637,-0.8155137803819446,0.0008601613840527909,0.8155137803819446,0.0008601613840527909,0.6938863118489583,0.0011459449851365078,0.5448784722222222,0.0014907005013849901
0.09545454545454599,0.039067745208740234,-0.8210734049479166,0.0008306792244966102,0.8210734049479166,0.0008306792244966102,0.7019395616319444,0.001103428868674657,0.5335591634114584,0.0015532294148442656
0.096161616161616,0.03755807876586914,-0.82691650390625,0.0007842989249913281,0.82691650390625,0.0007842989249913281,0.7100233289930555,0.0011699269248266612,0.5225816514756945,0.0017182813065675785
0.09686868686868699,0.03766894340515137,-0.8352064344618055,0.0008711315954430105,0.8352064344618055,0.0008711315954430105,0.7221523708767361,0.0012551176758147673,0.5052924262152778,0.0016801663540318601
0.09757575757575801,0.03761863708496094,-0.8394870334201389,0.0007970866308594655,0.8394870334201389,0.0007970866308594655,0.7280388726128472,0.0011558835653229897,0.49674953884548617,0.0017328968477511321
0.098282828282828,0.04309582710266113,0.84471435546875,0.0007946516722306631,0.84471435546875,0.0007946516722306631,0.7360826280381945,0.0011024208730021443,0.48536376953125004,0.0016906852773085782
0.098989898989899,0.04060673713684082,0.8498223198784722,0.0006172594860401755,0.8498223198784722,0.0006172594860401755,0.7436964246961806,0.0009839451492205818,0.47401190863715276,0.0014378639773628742
0.09969696969697,0.043304443359375,-0.8550238715277778,0.0006929712314209967,0.8550238715277778,0.0006929712314209967,0.7511094835069445,0.0010195167095160573,0.4626241048177083,0.0015248340894158839
0.10040404040404,0.043419837951660156,-0.859609646267361,0.0005041368536915103,0.859609646267361,0.0005041368536915103,0.7582763671875,0.0007896587893697473,0.4520399305555556,0.0011609899119536826
0.10111111111111099,0.04400515556335449,-0.863882107204861,0.0007397417987733828,0.863882107204861,0.0007397417987733828,0.7647562662760417,0.0010792791541803166,0.4421502007378472,0.001668363002482431
0.10181818181818199,0.05097055435180664,0.8681735568576389,0.0006682427783648216,0.8681735568576389,0.0006682427783648216,0.7713182237413194,0.0009963075900770862,0.43235880533854165,0.0015964147327289873
0.10252525252525299,0.04307723045349121,0.8734266493055556,0.0004712131179787065,0.8734266493055556,0.0004712131179787065,0.7794440375434027,0.0007789843701090755,0.4196370442708333,0.0013172541177490441
0.10323232323232301,0.03994274139404297,-0.8769097222222222,0.000636275303116678,0.8769097222222222,0.000636275303116678,0.7849161783854166,0.0009332357927317747,0.41061333550347223,0.0014931377484516705
0.103939393939394,0.04466605186462402,-0.8815212673611111,0.0006000518861349084,0.8815212673611111,0.0006000518861349084,0.7918992784288195,0.0009262472693822515,0.39972805447048615,0.001552486372604913
0.104646464646465,0.043735504150390625,0.8845391167534722,0.0006095717468926641,0.8845391167534722,0.0006095717468926641,0.7967963324652777,0.0009534329314853958,0.39166666666666666,0.0015774093458742046
0.105353535353535,0.04701733589172363,-0.8884440104166667,0.00040438965336354573,0.8884440104166667,0.00040438965336354573,0.8027418348524306,0.0006193229319656343,0.3818562825520833,0.0011347991291966427
0.106060606060606,0.04690408706665039,-0.8914740668402779,0.0004555733702630572,0.8914740668402779,0.0004555733702630572,0.8076158311631945,0.000708968625136537,0.37430691189236115,0.0012432226455325707
0.106767676767677,0.044084787368774414,0.8947279188368056,0.00041728792540693155,0.8947279188368056,0.00041728792540693155,0.8129503038194444,0.0006919688935816734,0.3653815375434028,0.0011485139800992052
0.107474747474747,0.04726862907409668,-0.8980021158854166,0.0006667343939711038,0.8980021158854166,0.0006667343939711038,0.8182366265190972,0.0010447109244227002,0.35633409288194445,0.0017646484562895664
0.10818181818181802,0.03998732566833496,0.9021769205729167,0.0003495519989833236,0.9021769205729167,0.0003495519989833236,0.8250861273871528,0.0005993599876036937,0.34462551540798614,0.0010345005888086347
0.10888888888888901,0.045404911041259766,-0.9047295464409721,0.00045684253410196383,0.9047295464409721,0.00045684253410196383,0.8293253580729166,0.0007851093930597179,0.3375135633680555,0.0013718064477085585
0.10959595959596001,0.04445981979370117,0.9079684787326389,0.00045043321038165207,0.9079684787326389,0.00045043321038165207,0.8343702528211805,0.0007734647177329316,0.328546142578125,0.0013997744596339864
0.11030303030303,0.044458866119384766,0.909811740451389,0.0003392794576712651,0.909811740451389,0.0003392794576712651,0.8374125162760417,0.0005767047058391995,0.32391221788194446,0.0010395603242856495
0.11101010101010099,0.03769207000732422,-0.9132473415798612,0.00040907402167872516,0.9132473415798612,0.00040907402167872516,0.8431416829427083,0.0006790654053256208,0.3134555392795139,0.0011948825649936198
0.111717171717172,0.0377812385559082,-0.9162231445312501,0.0005224511321144259,0.9162231445312501,0.0005224511321144259,0.8481255425347222,0.0008557758806432328,0.3047722710503472,0.001473502858536713
0.112424242424242,0.04078269004821777,0.9185234917534721,0.0004983961053242499,0.9185234917534721,0.0004983961053242499,0.851995849609375,0.0008484322939432144,0.2980129665798611,0.001476488409468529
0.11313131313131301,0.04486846923828125,0.9201171874999999,0.00028596369558876787,0.9201171874999999,0.00028596369558876787,0.8545939127604166,0.0005021580517682196,0.29327256944444446,0.0008742898331152581
0.113838383838384,0.038187503814697266,0.9226223415798612,0.00046970983436151663,0.9226223415798612,0.00046970983436151663,0.8588046603732639,0.0007510492588336219,0.28567843967013895,0.0013682408751363128
0.11454545454545499,0.03760409355163574,0.9249742296006946,0.00035651630393648213,0.9249742296006946,0.00035651630393648213,0.8627597384982638,0.0006015807057125088,0.27865600585937494,0.0010856389689048904
