k,time,m,m_std,a,a_std,wall_density,wall_density_std
3.1276276276276276,4.012698173522949,-1.0,0.0,1.0,0.0,0.0,0.0
3.2027027027027026,3.908456325531006,1.0,0.0,1.0,0.0,0.0,0.0
3.2777777777777777,3.910834312438965,1.0,0.0,1.0,0.0,0.0,0.0
3.3528528528528527,4.180197715759277,1.0,0.0,1.0,0.0,0.0,0.0
3.4279279279279278,4.047187805175781,1.0,0.0,1.0,0.0,0.0,0.0
3.503003003003003,4.2111194133758545,1.0,0.0,1.0,0.0,0.0,0.0
3.578078078078078,4.109240531921387,-1.0,0.0,1.0,0.0,0.0,0.0
3.653153153153153,4.130263566970825,-1.0,0.0,1.0,0.0,0.0,0.0
3.7282282282282284,4.095465421676636,-1.0,0.0,1.0,0.0,0.0,0.0
3.8033033033033035,4.046867370605469,1.0,0.0,1.0,0.0,0.0,0.0
3.8783783783783785,4.014260292053223,1.0,0.0,1.0,0.0,0.0,0.0
3.9534534534534536,4.084159851074219,1.0,0.0,1.0,0.0,0.0,0.0
4.028528528528529,4.075898885726929,-1.0,0.0,1.0,0.0,0.0,0.0
4.103603603603604,3.9984450340270996,1.0,0.0,1.0,0.0,0.0,0.0
4.178678678678679,4.159034490585327,1.0,0.0,1.0,0.0,0.0,0.0
4.253753753753754,4.04605770111084,-1.0,0.0,1.0,0.0,0.0,0.0
4.328828828828829,4.168019771575928,-1.0,0.0,1.0,0.0,0.0,0.0
4.403903903903904,4.07813572883606,1.0,0.0,1.0,0.0,0.0,0.0
4.478978978978979,4.024300575256348,-1.0,0.0,1.0,0.0,0.0,0.0
4.554054054054054,4.1103644371032715,1.0,0.0,1.0,0.0,0.0,0.0
4.629129129129129,4.138952016830444,-1.0,0.0,1.0,0.0,0.0,0.0
4.7042042042042045,4.0157999992370605,-1.0,0.0,1.0,0.0,0.0,0.0
4.7792792792792795,4.026769638061523,-1.0,0.0,1.0,0.0,0.0,0.0
4.854354354354355,4.136991262435913,1.0,0.0,1.0,0.0,0.0,0.0
4.92942942942943,4.096800804138184,1.0,0.0,1.0,0.0,0.0,0.0
5.004504504504505,4.052817106246948,1.0,0.0,1.0,0.0,0.0,0.0
5.07957957957958,4.08495831489563,1.0,0.0,1.0,0.0,0.0,0.0
5.154654654654655,4.204010248184204,-1.0,0.0,1.0,0.0,0.0,0.0
5.22972972972973,4.072748899459839,-1.0,0.0,1.0,0.0,0.0,0.0
5.304804804804805,4.1967363357543945,1.0,0.0,1.0,0.0,0.0,0.0
5.37987987987988,4.150120973587036,1.0,0.0,1.0,0.0,0.0,0.0
5.454954954954955,4.151434421539307,1.0,0.0,1.0,0.0,0.0,0.0
5.53003003003003,4.065703392028809,1.0,0.0,1.0,0.0,0.0,0.0
5.605105105105105,4.0148069858551025,1.0,0.0,1.0,0.0,0.0,0.0
5.68018018018018,4.006410121917725,-1.0,0.0,1.0,0.0,0.0,0.0
5.755255255255255,3.996535539627075,1.0,0.0,1.0,0.0,0.0,0.0
5.83033033033033,3.972032070159912,1.0,0.0,1.0,0.0,0.0,0.0
5.905405405405405,4.074767112731934,1.0,0.0,1.0,0.0,0.0,0.0
5.98048048048048,3.9770030975341797,-1.0,0.0,1.0,0.0,0.0,0.0
6.055555555555555,3.944467782974243,-1.0,0.0,1.0,0.0,0.0,0.0
6.13063063063063,3.9535090923309326,1.0,0.0,1.0,0.0,0.0,0.0
6.2057057057057055,4.049765586853027,-1.0,0.0,1.0,0.0,0.0,0.0
6.2807807807807805,4.076510190963745,-1.0,0.0,1.0,0.0,0.0,0.0
6.3558558558558556,4.140228271484375,1.0,0.0,1.0,0.0,0.0,0.0
6.430930930930931,3.9987096786499023,1.0,0.0,1.0,0.0,0.0,0.0
6.506006006006006,4.02641224861145,-1.0,0.0,1.0,0.0,0.0,0.0
6.581081081081081,3.9365665912628174,-1.0,0.0,1.0,0.0,0.0,0.0
6.656156156156156,4.019978761672974,1.0,0.0,1.0,0.0,0.0,0.0
6.731231231231231,4.039884805679321,1.0,0.0,1.0,0.0,0.0,0.0
6.806306306306306,3.8875045776367188,1.0,0.0,1.0,0.0,0.0,0.0
6.881381381381381,3.890467882156372,-1.0,0.0,1.0,0.0,0.0,0.0
6.956456456456457,3.9124088287353516,1.0,0.0,1.0,0.0,0.0,0.0
7.031531531531532,3.9749162197113037,-1.0,0.0,1.0,0.0,0.0,0.0
7.106606606606607,4.211178779602051,-1.0,0.0,1.0,0.0,0.0,0.0
7.181681681681682,4.018303632736206,1.0,0.0,1.0,0.0,0.0,0.0
7.256756756756757,4.07761812210083,1.0,0.0,1.0,0.0,0.0,0.0
7.331831831831832,4.080067157745361,1.0,0.0,1.0,0.0,0.0,0.0
7.406906906906907,4.057659864425659,1.0,0.0,1.0,0.0,0.0,0.0
7.481981981981982,4.097594261169434,1.0,0.0,1.0,0.0,0.0,0.0
7.557057057057057,4.099142551422119,1.0,0.0,1.0,0.0,0.0,0.0
7.632132132132132,4.044539451599121,-1.0,0.0,1.0,0.0,0.0,0.0
7.707207207207207,4.028219223022461,1.0,0.0,1.0,0.0,0.0,0.0
7.782282282282282,4.081965684890747,-1.0,0.0,1.0,0.0,0.0,0.0
7.857357357357357,4.008313417434692,-1.0,0.0,1.0,0.0,0.0,0.0
7.9324324324324325,4.014041185379028,1.0,0.0,1.0,0.0,0.0,0.0
